Name,Brands,Price,Slashed_price,Discount_Price_Amount,Review,Reviews,Review_count,Discount,Discount_Percentage
Fire-Boltt Phoenix Pro 35.3mm,Fire-Boltt,"1,199","₹11,999₹11,999","11,999",4.1 out of 5 stars,4.1,"79,058","₹1,199₹1,199 M.R.P: ₹11,999₹11,999 (90% off)",(90% off)
Noise Pulse 4 Max India's 1st Ever AI Crea,Noise,"2,199","₹6,999₹6,999","6,999",4.1 out of 5 stars,4.1,"40,905","₹2,199₹2,199 M.R.P: ₹6,999₹6,999 (69% off)",(69% off)
Noise Twist Go Bluetooth Calling Smart Wat,Noise,"1,498","₹4,999₹4,999","4,999",4.1 out of 5 stars,4.1,"26,412","₹1,498₹1,498 M.R.P: ₹4,999₹4,999 (70% off)",(70% off)
AGEasy Protec Fall Detection Smartwatch fo,AGEasy,"7,999","₹24,999₹24,999","24,999",4.6 out of 5 stars,4.6,31,"₹7,999₹7,999 M.R.P: ₹24,999₹24,999 (68% off)",(68% off)
Fire-Boltt Ninja Call Pro Max 51.05mm,Fire-Boltt,"1,099","₹14,999₹14,999","14,999",4.1 out of 5 stars,4.1,"79,260","₹1,099₹1,099 M.R.P: ₹14,999₹14,999 (93% off)",(93% off)
Fire-Boltt Phoenix Ultra Luxury Stainless,Fire-Boltt,"1,499","₹12,499₹12,499","12,499",4.1 out of 5 stars,4.1,"79,058","₹1,499₹1,499 M.R.P: ₹12,499₹12,499 (88% off)",(88% off)
NoiseFit Halo 1.43,NoiseFit,"2,499","₹7,999₹7,999","7,999",4.2 out of 5 stars,4.2,"14,611","₹2,499₹2,499 M.R.P: ₹7,999₹7,999 (69% off)",(69% off)
Fire-Boltt Ninja Call Pro Plus 46.48mm,Fire-Boltt,999,"₹19,999₹19,999","19,999",4.1 out of 5 stars,4.1,"79,260","₹999₹999 M.R.P: ₹19,999₹19,999 (95% off)",(95% off)
boAt Storm Call 3 w,boAt,999,"₹8,499₹8,499","8,499",4.2 out of 5 stars,4.2,"31,614","₹999₹999 M.R.P: ₹8,499₹8,499 (88% off)",(88% off)
M I D116 Fitness Band Smart Watch for Men,M,449,"₹2,999₹2,999","2,999",3.9 out of 5 stars,3.9,779,"₹449₹449 M.R.P: ₹2,999₹2,999 (85% off)",(85% off)
